symbol,company_name,status,data_type,timestamp,notes
HINDALCO,Hindalco Industries Ltd.,success,consolidated,2026-09-15T11:45:41.762858,33 KB
360ONE,360 ONE WAM Ltd.,success,consolidated,2026-09-15T11:49:57.470730,32 KB
3MINDIA,3M India Ltd.,success,consolidated,2026-09-15T11:50:17.628621,32 KB
ABB,ABB India Ltd.,success,consolidated,2026-09-15T11:50:37.624059,31 KB
ACC,ACC Ltd.,success,consolidated,2026-09-15T11:50:57.838894,33 KB
ACMESOLAR,ACME Solar Holdings Ltd.,success,consolidated,2026-09-15T11:51:17.989817,32 KB
AIAENG,AIA Engineering Ltd.,success,consolidated,2026-09-15T11:51:38.379454,33 KB
APLAPOLLO,APL Apollo Tubes Ltd.,success,consolidated,2026-09-15T11:51:58.859070,33 KB
AUBANK,AU Small Finance Bank Ltd.,success,consolidated,2026-09-15T11:52:19.027778,31 KB
AWL,AWL Agri Business Ltd.,success,consolidated,2026-09-15T11:52:40.197327,32 KB
AADHARHFC,Aadhar Housing Finance Ltd.,success,consolidated,2026-09-15T11:53:00.290888,32 KB
AARTIIND,Aarti Industries Ltd.,success,consolidated,2026-09-15T11:53:20.756548,33 KB
AAVAS,Aavas Financiers Ltd.,success,consolidated,2026-09-15T11:53:40.905126,32 KB
ABBOTINDIA,Abbott India Ltd.,success,auto,2026-09-15T14:59:54.972230,33 KB
ACE,Action Construction Equipment Ltd.,success,consolidated,2026-09-15T11:54:36.655041,33 KB
ACUTAAS,Acutaas Chemicals Ltd.,success,consolidated,2026-09-15T11:54:56.770416,32 KB
ADANIENSOL,Adani Energy Solutions Ltd.,success,consolidated,2026-09-15T11:55:17.076272,33 KB
ADANIENT,Adani Enterprises Ltd.,success,consolidated,2026-09-15T11:55:37.359751,33 KB
ADANIGREEN,Adani Green Energy Ltd.,success,consolidated,2026-09-15T11:55:57.666158,32 KB
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,success,consolidated,2026-09-15T11:56:18.024056,33 KB
ADANIPOWER,Adani Power Ltd.,success,consolidated,2026-09-15T11:56:38.875100,33 KB
ATGL,Adani Total Gas Ltd.,success,consolidated,2026-09-15T11:57:00.706963,32 KB
ABCAPITAL,Aditya Birla Capital Ltd.,success,consolidated,2026-09-15T11:57:21.853349,33 KB
ABFRL,Aditya Birla Fashion and Retail Ltd.,success,consolidated,2026-09-15T11:57:43.179534,32 KB
ABLBL,Aditya Birla Lifestyle Brands Ltd.,success,consolidated,2026-09-15T11:58:04.256346,31 KB
